join_key,year,street,state,city,zip,zip4,dept_sta,inc_type,num_mile,street_pre,streetname,streettype,streetsuf,apt_no,x_street
CA37115092720140014181000,2014,1817  Peacock BLVD ,CA,OCEANSIDE,92056,,,611,1817,,Peacock,BLVD,,,1817 Peacock Blvd
CA43070012420150249243000,2015,558  CAPITOL VILLAGE  ,CA,SAN JOSE,95111,,18,321,558,,CAPITOL VILLAGE,,,,
CA33110052420160062896000,2016,00039700  BOB HOPE DR ,CA,RANM,92270,,RRU,300,39700,,BOB HOPE,DR,,,COLUMBIA DR COUNTRY CLUB DR
CA15010122820141443671000,2014,24340  WILLOW PASS DR ,CA,BEAR VALLEY,93561,,K16,321,24340,,WILLOW PASS,DR,,,
CA30065112920160126592000,2016,601 S DAISY  ,CA,SANTA ANA,0,0,FS7,600,601,S,DAISY,,,,
CA19110092020140242064000,2014,5132 W AVENUE M4  ,CA,QUARTZ HILL,0,0,84,321,5132,W,AVENUE M4,,,,btwn N 50TH ST W
CA15010082920151531621000,2015,14001  YOKUTS LN ,CA,BAKERSFIELD,93306,,K41,611,14001,,YOKUTS,LN,,,
CA43080090420162480049000,2016,  WESTMONT  ,CA,CAMPBELL,95008,,SU,550,,,WESTMONT,,,,CROCKETT AV
CA37165101020140021273000,2014,00004224  NABAL DR ,CA,SANMIGUEL,91977,,MVU,311,4224,,NABAL,DR,,,10700 BLK CHALLENGE BL 10650
CA28010021920140001178000,2014,3878  KLAMATH WAY ,CA,NAPA,94558,,2,321,3878,,KLAMATH,WAY,,,
CA39050061320140002607000,2014,199  SKY PL ,CA,Manteca,95336,,1,321,199,,SKY,PL,,,
CA19205011020150001107000,2015,2570 S SANTA FE  ,CA,VERNON,90058,,,321,2570,S,SANTA FE,,,,
CA45055102720150010683000,2015,4445  ALTA MESA DR ,CA,Redding,96002,,5,114,4445,,ALTA MESA,DR,,,
CA37125022020150000615000,2015,14885  Pomerado RD ,CA,POWAY,92064,,3,321,14885,,Pomerado,RD,,,14885 Pomerado Rd
CA42015070520160002343000,2016,230 S G ST ,CA,LOMPOC,93436,,1,321,230,S,G,ST,,,
CA42035091620150011390000,2015,1461  CALLE SEGUNDA  ,CA,LOMPOC,93436,,51,321,1461,,CALLE SEGUNDA,,,,
CA41085072320160007721000,2016,1410  OLD COUNTY RD ,CA,Belmont,94002,,14,321,1410,,OLD COUNTY,RD,,,
CA19175020120160003715000,2016,0  LAKELAND RD ,CA,SANTA FE SPRINGS,90670,,,321,0,,LAKELAND,RD,,,NORWALK
CA41035112020160006775000,2016,539  HANOVER ST ,CA,DALY CITY,94015,,92,321,539,,HANOVER,ST,,,
CA54045010220120000048000,2012,9500 W AIRPORT DR ,CA,Visalia,93277,,S55,462,9500,W,AIRPORT,DR,,,
CA19110082020150231261000,2015,6002  PALOS VERDES  S,CA,RANCHO PALOS VERDES,0,0,53,321,6002,,PALOS VERDES,,S,,btwn ABALONE COVE
CA15010090720151532771000,2015,4423  JOHNSTON  ,CA,INYOKERN,93555,,K73,521,4423,,JOHNSTON,,,C,
CA30065112220150118961000,2015,24701  RAYMOND  ,CA,LAKE FOREST CITY,0,0,FS1,321,24701,,RAYMOND,,,142,PROTHERO MOBILE ESTATES
CA33054050320140046334000,2014,00015660  LASSELLE ST ,CA,MOVA,92555,,RRU,321,15660,,LASSELLE,ST,,,26000 BLK GENTIAN AV VIA LETI
CA49145052620150011431000,2015,129  VALLEY OAKS DR ,CA,SANTA ROSA,95409,,7,321,129,,VALLEY OAKS,DR,,,
CA41085060420080002002000,2008,1226   EDGEWOOD RD  ,CA,Redwood City,94062, ,18,111,1226, ,EDGEWOOD,RD, , ,
CA30005061820161618340000,2016,2520 W LA PALMA AVE ,CA,Anaheim,92801,,2,321,2520,W,LA PALMA,AVE,,,
CA01075031520140017611000,2014,  CALDECOTT LN ,CA,OAKLAND,94609,,ST0,150,,,CALDECOTT,LN,,,TUNNEL
CA19075030820161603927000,2016,330  MISSION RD ,CA,Glendale,91206,,Gle,300,330,,MISSION,RD,,221A,LEISURE GLEN ACUTE CARE btw
CA30005091520141424907000,2014,1716 S DISNEYLAND  ,CA,Anaheim,92802,,44,611,1716,S,DISNEYLAND,,,,
CA19110090720160259956000,2016,44108  GLENRAVEN  ,CA,LANCASTER,0,0,33,611,44108,,GLENRAVEN,,,,btwn 4TH ST E
CA19110030920160072394000,2016,3835 W 104TH  ,CA,INGLEWOOD,0,0,170,321,3835,W,104TH,,,5,btwn S DOTY AV
CA37140081920160103084000,2016,310  Market ST ,CA,SAN DIEGO,92101,,1,321,310,,Market,ST,,1103,310 Market St
CA27025022520160000422000,2016,1202  SAN MIGUEL CANYON RD ,CA,Royal Oaks,95076,9507,3,324,1202,,SAN MIGUEL CANYON,RD,,,
CA43030102720155300004000,2015,1001 S Main ST ,CA,MILPITAS,95035,,STA,111,1001,S,Main,ST,,102,1001 S Main St
CA33051120520140128413000,2014,00027000  NEWPORT RD ,CA,MENI,92584,,RRU,321,27000,,NEWPORT,RD,,,
CA34090091520140125897000,2014,6612  Briartree WY ,CA,Sacramento,95842,,25,321,6612,,Briartree,WY,,,
CA19110121720140326126000,2014,10786 E LIVE OAK  ,CA,TEMPLE CITY,0,0,47,321,10786,E,LIVE OAK,,,B,btwn PERSIMMON AV
CA30005080820151523847000,2015,9262  PICADILLY  ,CA,Anaheim,92801,,2,321,9262,,PICADILLY,,,,
CA21045052420150001331000,2015,801  Bridgeway  ,CA,Sausalito,94965,,1,735,801,,Bridgeway,,,,
CA21015110420150001659000,2015,131  Buena Vista AVE ,CA,Corte Madera,94925,,14,321,131,,Buena Vista,AVE,,,
CA19110110320140284102000,2014,15454 E GALE  ,CA,HACIENDA HEIGHTS,0,0,43,321,15454,E,GALE,,,E1,btwn ANGELCREST DR
CA12140092020150007225000,2015,1605  Giuntoli  ,CA,Arcata,95521,,MR,622,1605,,Giuntoli,,,,
CA57065031120090001244000,2009,815   Hill CT  ,CA,W. Sacramento,95605, ,44,118,815, ,Hill,CT, , ,
CA19100081020161636638000,2016,5327  GREENMEADOW RD ,CA,Long Beach,90808,,19,321,5327,,GREENMEADOW,RD,,,
CA21075082220167505291000,2016,809  A ST ,CA,San Rafael,94901,,51,321,809,,A,ST,,1,
CA38005031620160027981000,2016,375  LAGUNA HONDA BL  ,CA,San Francisco,94116,,,735,375,,LAGUNA HONDA BL,,,,
CA21035072320140000933000,2014,432  William  ,CA,Larkspur,94939,,15,321,432,,William,,,,
CA04035053120030005692000,2003,45   Mono AVE  ,CA,Oroville,95965, ,63,321,45, ,Mono,AVE, ,L,Cross Table Mtn Blvd
CA37025030820150002104000,2015,987  Postal WAY ,CA,Vista,92083,,OUT,611,987,,Postal,WAY,,APT 47,987 Postal Wy
CA15010070820161625430000,2016,615  CENTRAL  ,CA,KERN COUNTY,93308,,K64,554,615,,CENTRAL,,,12,
CA19105070420110000727000,2011,06861 N RANCHITO AV  ,CA,VAN NUYS,91405, ,39,113,6861,N,RANCHITO,AV, , ,RANCHITO                    AV
CA19110012620160026025000,2016,24979  CONSTITUTION  ,CA,STEVENSON RANCH,0,0,124,321,24979,,CONSTITUTION,,,935,btwn N FOUNTAIN GLEN
CA31085071720151509390000,2015,1  MEDICAL PLZ ,CA,ROSEVILLE,95661,,6,511,1,,MEDICAL,PLZ,,,
CA27080060620160001307000,2016,815  CANYON DEL REY BLVD ,CA,Del Rey Oaks,93940,,1,622,815,,CANYON DEL REY,BLVD,,,
CA19110070720150187054000,2015,4128 W AVENUE L  ,CA,QUARTZ HILL,0,0,84,321,4128,W,AVENUE L,,,D,btwn N 40TH ST W
CA38005012220160008134000,2016,350  HARBOR RD ,CA,San Francisco,94124,,,711,350,,HARBOR,RD,,,
CA33105051620140051091000,2014,00074855  COUNTRY CLUB DR ,CA,PDES,92260,,RRU,321,74855,,COUNTRY CLUB,DR,,,39600 BLK DESERT SPRINGS DR C
CA41070072220161605663000,2016,  NORTHRIDGE  ,CA,WOODSIDE,94061,,7,322,,,NORTHRIDGE,,,,WOODSIDE
CA34080071420160047003000,2016,3745  WHITEHEAD ST ,CA,RCS,95827,,,611,3745,,WHITEHEAD,ST,,,
CA19110110520140286447000,2014,5200  ENTRAR  ,CA,PALMDALE,0,0,136,321,5200,,ENTRAR,,,,btwn PESEBRE DR
CA56020090720150028769000,2015,942 S WESTLAKE  ,CA,Westlake,92360,,,611,942,S,WESTLAKE,,,,Mobil Gas Station31038942
CA19100100420161645916000,2016,2865  ATLANTIC AV  ,CA,Long Beach,90806,,7,555,2865,,ATLANTIC AV,,,,
CA37110060520150003425000,2015, E Division ST ,CA,NATIONAL CITY,91950,,,322,,E,Division,ST,,,Euclid AV
CA48060091020150053085000,2015,110  SANSOME CT ,CA,VACAVILLE,95688,,74,321,110,,SANSOME,CT,,,
CA37065012020150000305000,2015,262 N El Camino Real  ,CA,ENCINITAS,92024,,ENC,321,262,N,El Camino Real,,,,262 N El Camino Real
CA19110010120160000369000,2016,13750 S LEMOLI  ,CA,HAWTHORNE,0,0,162,321,13750,S,LEMOLI,,,16,btwn W 135TH ST
CA43070061920161719132000,2016,2910  MCKEE RD ,CA,SAN JOSE,95127,,2,322,2910,,MCKEE,RD,,,
CA38005101520150026567000,2015,2150  THE EMBARCADERO NOR  ,CA,San Francisco,94133,,,342,2150,,THE EMBARCADERO NOR,,,,
CA42035122820140015459000,2014,3760  RUCKER RD ,CA,LOMPOC,93436,,51,520,3760,,RUCKER,RD,,,
CA19110113020140308760000,2014,23055  16TH  ,CA,SANTA CLARITA,0,0,73,321,23055,,16TH,,,,btwn N CHESTNUT ST
CA19110070820160196956000,2016,12326  MEADOW  ,CA,ARTESIA,0,0,30,700,12326,,MEADOW,,,,btwn S NORWALK BLVD
CA19110052820150146037000,2015,37916 N 28TH  E,CA,PALMDALE,0,0,131,321,37916,N,28TH,,E,,btwn E AVENUE R3
CA48060061820150035101000,2015,260  LOCH LOMOND DR ,CA,Vacaville,95687,,72,321,260,,LOCH LOMOND,DR,,,
CA48005030420160640056000,2016,100 W K ST ,CA,BENICIA,94510,,11,321,100,W,K,ST,,,
CA19025111720150006347000,2015,333 S ELM DR ,CA,BEVERLY HILLS,90212,,,321,333,S,ELM,DR,,202,
CA54010102120150003867000,2015,1665 E El Monte  ,CA,Dinuba,93618,,S31,130,1665,E,El Monte,,,,
CA30065020420160013170000,2016,26447  PASEO PAMELA  ,CA,SAN JUAN CAPISTRANO,0,0,FS0,531,26447,,PASEO PAMELA,,,,
CA19110052820150146255000,2015,10832 E VALLEY  ,CA,EL MONTE,0,0,166,321,10832,E,VALLEY,,,,btwn N PALM CT
CA19100012120100002860000,2010,2154 W SPRING ST  ,CA,LONG BEACH,90810, ,13,440,2154,W,SPRING,ST, , ,
CA10030042020166021747000,2016, W B ST ,CA,Kerman,93630,,S21,311,,W,B,ST,,,Second
CA04035030920030002587000,2003,14389   TULANE CT  ,CA,MAGALIA,95954, ,33,321,14389, ,TULANE,CT, , ,
CA56020010820150000905000,2015,460  ARBOR LANE  ,CA,Thousand Oaks,91360,,,553,460,,ARBOR LANE,,,APT 206,OAK KNOLL VILLAS30015460
CA09050011620140001258000,2014,00003215  UNITED DR ,CA,CAMERONPARK,95682,,AEU,553,3215,,UNITED,DR,,,2840 BLK ROYAL PARK DR 2996 B
CA19110082020160241768000,2016,601 N AZUSA  ,CA,COVINA,0,0,152,611,601,N,AZUSA,,,,btwn W FRONT ST
CA30065052320140044673000,2014,22379  EL TORO  ,CA,LAKE FOREST CITY,0,0,FS1,321,22379,,EL TORO,,,,NEAR MONTCLIFF DR
CA19110050320050092596000,2005,3548 E 53RD    ,CA,MAYWOOD,0,0,163,113,3548,E,53RD, , , ,btwn MAYWOOD AV
CA57075053020080002007000,2008,2259   BRONZE STAR DR  ,CA,WOODLAND,95776, ,STA,400,2259, ,BRONZE STAR,DR, , ,2259 BRONZE STAR DR
CA37140052420160064272000,2016,2374  Servando AVE ,CA,SAN DIEGO,92154,,29,611,2374,,Servando,AVE,,120,2374 Servando Av
CA04010010120160000003000,2016,191 E 2ND ST ,CA,Chico,95928,,1,321,191,E,2ND,ST,,,MAIN ST
CA37130062720150013693000,2015,00000511 S 14TH ST ,CA,RAMONA,92065,,MVU,321,511,S,14TH,ST,,,1399 BLK E ST 1399 BLK LA HAI
CA22025051820150000418000,2015,5787  Darrah RD ,CA,Mariposa,95338,,29,311,5787,,Darrah,RD,,,
CA34090121720140170048000,2014,8116  Zenith DR ,CA,Sacramento,95842,,25,500,8116,,Zenith,DR,,,
CA41090042420160004387000,2016,100 S SAN MATEO DR ,CA,San Mateo,94401,,21,321,100,S,SAN MATEO,DR,,,
CA19105011020110001330000,2011,01876 S RIMPAU BL  ,CA,LOS ANGELES,90016, ,68,412,1876,S,RIMPAU,BL, , ,RIMPAU                      BL
CA49145010320140000154000,2014,  PARKER HILL CT  ,CA,SANTA ROSA,95404,,5,622,,,PARKER HILL CT,,,,PARKER HILL RD
CA30065110120150111295000,2015,71  HALLMARK  ,CA,IRVINE,0,0,FS2,321,71,,HALLMARK,,,,
CA19105010620150000632000,2015,  665 S STANFORD AV X E 7TH ST M  ,CA,LOS ANGELES,90013,,9,118,,,665 S STANFORD AV X E 7TH ST M,,,,665 S STANFORD AV X E 7TH ST M
CA39050022120160000957000,2016,1415 E YOSEMITE AVE ,CA,Manteca,95336,,1,321,1415,E,YOSEMITE,AVE,,105,
CA07035051120150003167000,2015,318  CAMEO DR ,CA,DANVILLE,94526,,33,321,318,,CAMEO,DR,,,X1PLAZA CIR X2VALLE VISTA
CA39065121420166039835000,2016, E FREMONT ST ,CA,Stockton,95202,,C12,611,,E,FREMONT,ST,,,
CA30065082720140075194000,2014,118  CALLE DEL PACIFICO  ,CA,SAN CLEMENTE,0,0,FS6,321,118,,CALLE DEL PACIFICO,,,,NEAR CALLE CITA
CA37140092020140101357000,2014,6355  Park Ridge Bl  ,CA,SAN DIEGO,92120,,31,600,6355,,Park Ridge Bl,,,,6355 Park Ridge Bl
CA34080022320140011428000,2014,3072  MILL OAK WAY ,CA,Sacramento,95833,,,321,3072,,MILL OAK,WAY,,,
CA30020082820161608466000,2016,2029  HARBOR BLVD ,CA,Costa Mesa,92626,,S3,321,2029,,HARBOR,BLVD,,5,
CA19110022720150057372000,2015,22002  NEWKIRK  ,CA,CARSON,0,0,36,321,22002,,NEWKIRK,,,,btwn E 220TH ST
CA27070072320160007767000,2016,  Work  ,CA,Salinas,93901,,,322,,,Work,,,,E Alisal
CA34080030620150014417000,2015,3786  ROBINRIDGE WAY ,CA,Sacramento,95823,,,321,3786,,ROBINRIDGE,WAY,,,
CA42040041420160002773000,2016,114 S THORNBURG  ,CA,Santa Maria,93458,,ST1,611,114,S,THORNBURG,,,,
